"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.127697619342014,5,400,3.95509193776521,"GO:0002237 response to molecule of bacterial origin "," http://amigo.geneontology.org/amigo/term/GO:0002237"," CXCL10  CXCL11  TNFAIP3  NFKB1  VCAM1"
0.127697619342014,1,3,159.785714285714,"GO:0002266 follicular dendritic cell activation "," http://amigo.geneontology.org/amigo/term/GO:0002266"," NFKB2"
0.127697619342014,2,14,39.9464285714286,"GO:0002467 germinal center formation "," http://amigo.geneontology.org/amigo/term/GO:0002467"," NFKB2  TNFAIP3"
0.127697619342014,1,25,159.785714285714,"GO:0006833 water transport "," http://amigo.geneontology.org/amigo/term/GO:0006833"," AQP9"
0.127697619342014,1,9,159.785714285714,"GO:0006863 purine nucleobase transport "," http://amigo.geneontology.org/amigo/term/GO:0006863"," AQP9"
0.127697619342014,10,2031,2.24733775366687,"GO:0006952 defense response "," http://amigo.geneontology.org/amigo/term/GO:0006952"," CCL20  REL  CXCL10  CXCL11  PMAIP1  NFKB1  TNFAIP3  VCAM1  SAA1  IL32"
0.127697619342014,8,892,3.26927292656193,"GO:0006954 inflammatory response "," http://amigo.geneontology.org/amigo/term/GO:0006954"," CCL20  REL  CXCL10  CXCL11  NFKB1  TNFAIP3  VCAM1  SAA1"
0.127697619342014,2,160,21.3047619047619,"GO:0007189 adenylate cyclase-activating G protein-coupled receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007189"," CXCL10  CXCL11"
0.127697619342014,6,772,3.26093294460641,"GO:0009617 response to bacterium "," http://amigo.geneontology.org/amigo/term/GO:0009617"," CXCL10  CXCL11  TNFAIP3  NFKB1  CCL20  VCAM1"
0.127697619342014,2,33,21.3047619047619,"GO:0010818 T cell chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0010818"," CXCL10  CXCL11"
0.127697619342014,1,3,159.785714285714,"GO:0010956 negative regulation of calcidiol 1-monooxygenase activity "," http://amigo.geneontology.org/amigo/term/GO:0010956"," NFKB1"
0.127697619342014,1,29,159.785714285714,"GO:0010996 response to auditory stimulus "," http://amigo.geneontology.org/amigo/term/GO:0010996"," CXCL10"
0.127697619342014,1,3,159.785714285714,"GO:0015722 canalicular bile acid transport "," http://amigo.geneontology.org/amigo/term/GO:0015722"," AQP9"
0.127697619342014,1,13,159.785714285714,"GO:0015791 polyol transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0015791"," AQP9"
0.127697619342014,1,9,159.785714285714,"GO:0015793 glycerol transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0015793"," AQP9"
0.127697619342014,1,10,159.785714285714,"GO:0015840 urea transport "," http://amigo.geneontology.org/amigo/term/GO:0015840"," AQP9"
0.127697619342014,1,10,159.785714285714,"GO:0015851 nucleobase transport "," http://amigo.geneontology.org/amigo/term/GO:0015851"," AQP9"
0.127697619342014,1,5,159.785714285714,"GO:0015855 pyrimidine nucleobase transport "," http://amigo.geneontology.org/amigo/term/GO:0015855"," AQP9"
0.127697619342014,1,25,159.785714285714,"GO:0019755 one-carbon compound transport "," http://amigo.geneontology.org/amigo/term/GO:0019755"," AQP9"
0.127697619342014,4,123,7.70051635111876,"GO:0030593 neutrophil chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0030593"," CCL20  CXCL10  CXCL11  SAA1"
0.127697619342014,5,376,4.24962006079027,"GO:0032496 response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0032496"," CXCL10  CXCL11  TNFAIP3  NFKB1  VCAM1"
0.127697619342014,1,4,159.785714285714,"GO:0034242 negative regulation of syncytium formation by plasma membrane fusion "," http://amigo.geneontology.org/amigo/term/GO:0034242"," CXCL10"
0.127697619342014,1,5,159.785714285714,"GO:0035523 protein K29-linked deubiquitination "," http://amigo.geneontology.org/amigo/term/GO:0035523"," TNFAIP3"
0.127697619342014,2,27,31.9571428571429,"GO:0035584 calcium-mediated signaling using intracellular calcium source "," http://amigo.geneontology.org/amigo/term/GO:0035584"," CCL20  VCAM1"
0.127697619342014,1,11,159.785714285714,"GO:0035871 protein K11-linked deubiquitination "," http://amigo.geneontology.org/amigo/term/GO:0035871"," TNFAIP3"
0.127697619342014,4,83,13.8944099378882,"GO:0048247 lymphocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0048247"," CCL20  CXCL10  SAA1  CXCL11"
0.127697619342014,3,152,8.40977443609023,"GO:0050728 negative regulation of inflammatory response "," http://amigo.geneontology.org/amigo/term/GO:0050728"," NFKB1  TNFAIP3  SAA1"
0.127697619342014,2,43,26.6309523809524,"GO:0051281 positive regulation of release of sequestered calcium ion into cytosol "," http://amigo.geneontology.org/amigo/term/GO:0051281"," CXCL10  CXCL11"
0.127697619342014,5,355,4.81282271944923,"GO:0060326 cell chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0060326"," CCL20  CXCL10  CXCL11  SAA1  VCAM1"
0.127697619342014,1,3,159.785714285714,"GO:0070425 negative regulation of nucleotide-binding oligomerization domain containing signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0070425"," TNFAIP3"
0.127697619342014,1,3,159.785714285714,"GO:0070433 negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0070433"," TNFAIP3"
0.127697619342014,4,148,6.58910162002945,"GO:0071621 granulocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0071621"," CCL20  CXCL10  CXCL11  SAA1"
0.127697619342014,4,251,5.11314285714286,"GO:0071674 mononuclear cell migration "," http://amigo.geneontology.org/amigo/term/GO:0071674"," CCL20  CXCL10  SAA1  CXCL11"
0.127697619342014,1,9,159.785714285714,"GO:0071918 urea transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0071918"," AQP9"
0.127697619342014,1,12,159.785714285714,"GO:0071947 protein deubiquitination involved in ubiquitin-dependent protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0071947"," TNFAIP3"
