"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0122662769161768,5,926,8.42243975903614,"GO:0070161 anchoring junction "," http://amigo.geneontology.org/amigo/term/GO:0070161"," ITGA3  KRT18  HSP90B1  FLNA  PPL"
0.036896409893883,2,273,34.953125,"GO:0005882 intermediate filament "," http://amigo.geneontology.org/amigo/term/GO:0005882"," KRT18  PPL"
0.036896409893883,3,534,11.8151408450704,"GO:0005911 cell-cell junction "," http://amigo.geneontology.org/amigo/term/GO:0005911"," KRT18  FLNA  PPL"
0.036896409893883,3,475,7.55743243243243,"GO:0005925 focal adhesion "," http://amigo.geneontology.org/amigo/term/GO:0005925"," ITGA3  HSP90B1  FLNA"
0.036896409893883,5,2293,4.69169463087248,"GO:0030054 cell junction "," http://amigo.geneontology.org/amigo/term/GO:0030054"," ITGA3  KRT18  HSP90B1  FLNA  PPL"
0.036896409893883,3,484,7.48995535714286,"GO:0030055 cell-substrate junction "," http://amigo.geneontology.org/amigo/term/GO:0030055"," ITGA3  HSP90B1  FLNA"
0.036896409893883,2,173,22.37,"GO:0030426 growth cone "," http://amigo.geneontology.org/amigo/term/GO:0030426"," ITGA3  FLNA"
0.036896409893883,2,179,22.37,"GO:0030427 site of polarized growth "," http://amigo.geneontology.org/amigo/term/GO:0030427"," ITGA3  FLNA"
0.036896409893883,1,3,139.8125,"GO:0031523 Myb complex "," http://amigo.geneontology.org/amigo/term/GO:0031523"," FLNA"
0.036896409893883,1,10,279.625,"GO:0033018 sarcoplasmic reticulum lumen "," http://amigo.geneontology.org/amigo/term/GO:0033018"," HSP90B1"
0.036896409893883,1,12,279.625,"GO:0034663 endoplasmic reticulum chaperone complex "," http://amigo.geneontology.org/amigo/term/GO:0034663"," HSP90B1"
0.036896409893883,5,2343,3.66001308900524,"GO:0043230 extracellular organelle "," http://amigo.geneontology.org/amigo/term/GO:0043230"," ITGA3  KRT18  PPL  HSP90B1  FLNA"
0.036896409893883,2,312,31.0694444444444,"GO:0045111 intermediate filament cytoskeleton "," http://amigo.geneontology.org/amigo/term/GO:0045111"," KRT18  PPL"
0.036896409893883,3,770,7.35855263157895,"GO:0048471 perinuclear region of cytoplasm "," http://amigo.geneontology.org/amigo/term/GO:0048471"," HSP90B1  ITGA3  KRT18"
