"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0126255867246957,5,112,8.97672552166934,"Path:hsa04668 TNF signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04668 "," CXCL10  NFKB1  CCL20  TNFAIP3  VCAM1"
0.0231282568403096,4,93,9.98660714285714,"Path:hsa04657 IL-17 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04657 "," CXCL10  NFKB1  CCL20  TNFAIP3"
0.0283378998728862,4,104,8.52190476190476,"Path:hsa04064 NF-kappa B signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04064 "," NFKB1  NFKB2  TNFAIP3  VCAM1"
0.0580740279283524,4,202,6.52186588921283,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," NFKB1  NFKB2  PMAIP1  REL"
0.0917129886334759,4,191,5.41646489104116,"Path:hsa04062 Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04062 "," CXCL10  NFKB1  CCL20  CXCL11"
0.12951296472807,3,99,5.70663265306122,"Path:hsa04061 Viral protein interaction with cytokine and cytokine receptor","http://www.genome.jp/kegg-bin/show_pathway?hsa04061 "," CXCL10  CCL20  CXCL11"
0.12951296472807,3,103,5.84581881533101,"Path:hsa04620 Toll-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04620 "," CXCL10  NFKB1  CXCL11"
0.12951296472807,2,63,11.0197044334975,"Path:hsa04623 Cytosolic DNA-sensing pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04623 "," CXCL10  NFKB1"
0.12951296472807,4,202,4.40788177339901,"Path:hsa05169 Epstein-Barr virus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05169 "," CXCL10  NFKB1  NFKB2  TNFAIP3"
0.12951296472807,1,68,79.8928571428571,"Path:hsa05204 Chemical carcinogenesis-DNA adducts","http://www.genome.jp/kegg-bin/show_pathway?hsa05204 "," HSD11B1"
0.146218432115058,1,75,53.2619047619048,"Path:hsa00980 Metabolism of xenobiotics by cytochrome P450","http://www.genome.jp/kegg-bin/show_pathway?hsa00980 "," HSD11B1"
0.146218432115058,2,57,9.68398268398268,"Path:hsa05134 Legionellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05134 "," NFKB1  NFKB2"
