"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000276080252579459,6,33,18.6315789473684,"GO:0010818 T cell chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0010818"," XCL1  CXCL10  CCL3  CXCL11"
0.000276080252579459,18,569,3.41479099678457,"GO:0019221 cytokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0019221"," TRAF1  LILRA1  IL1B  XCL1  CXCL3  CXCL5  CXCL10  CXCL11  IFNA7  CCL3  CSF1  TNFAIP3  PTPN11"
0.000276080252579459,22,1032,2.84649122807018,"GO:0034097 response to cytokine "," http://amigo.geneontology.org/amigo/term/GO:0034097"," TRAF1  LILRA1  IL1B  XCL1  REL  CXCL3  CXCL5  CXCL10  CXCL11  IFNA7  CCL3  CSF1  RPS6KB1  NFKB1  VCAM1  TNFAIP3  PTPN11"
0.000276080252579459,21,935,2.94299287410926,"GO:0071345 cellular response to cytokine stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071345"," TRAF1  LILRA1  IL1B  XCL1  CXCL3  CXCL5  CXCL10  CXCL11  IFNA7  CCL3  CSF1  RPS6KB1  NFKB1  VCAM1  TNFAIP3  PTPN11"
0.000622290469648979,14,400,4.02926829268293,"GO:0002237 response to molecule of bacterial origin "," http://amigo.geneontology.org/amigo/term/GO:0002237"," IL1B  CXCL3  CXCL5  CXCL10  CXCL11  DMBT1  LTF  TNFAIP3  CCL3  RPS6KB1  NFKB1  VCAM1"
0.000622290469648979,4,10,33.7142857142857,"GO:1904124 microglial cell migration "," http://amigo.geneontology.org/amigo/term/GO:1904124"," CSF1  CCL3"
0.000622290469648979,4,10,33.7142857142857,"GO:1904139 regulation of microglial cell migration "," http://amigo.geneontology.org/amigo/term/GO:1904139"," CSF1  CCL3"
0.000622290469648979,4,9,33.7142857142857,"GO:1904141 positive regulation of microglial cell migration "," http://amigo.geneontology.org/amigo/term/GO:1904141"," CSF1  CCL3"
0.000733385153208302,26,2031,2.14245810055866,"GO:0006952 defense response "," http://amigo.geneontology.org/amigo/term/GO:0006952"," MASP2  LTF  IL1B  XCL1  REL  CXCL3  CXCL5  CLEC4E  CXCL10  CXCL11  ISG20  DMBT1  CCL3  IFNA7  RPS6KB1  NFKB1  TNFAIP3  VCAM1  CSF1  LILRA1  PTPN11"
0.000733385153208302,10,148,5.84158415841584,"GO:0071621 granulocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0071621"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3  CSF1  IL1B"
0.00122809424306201,9,123,6.10344827586207,"GO:0030593 neutrophil chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0030593"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3  IL1B"
0.00122809424306201,13,376,4.01570680628272,"GO:0032496 response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0032496"," IL1B  CXCL3  CXCL5  CXCL10  CXCL11  LTF  TNFAIP3  CCL3  RPS6KB1  NFKB1  VCAM1"
0.00122809424306201,11,258,4.77205882352941,"GO:0071222 cellular response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0071222"," IL1B  CXCL3  CXCL5  CXCL10  CXCL11  LTF  TNFAIP3  CCL3  NFKB1"
0.00122809424306201,4,12,26.2222222222222,"GO:1903977 positive regulation of glial cell migration "," http://amigo.geneontology.org/amigo/term/GO:1903977"," CSF1  CCL3"
0.0013711601986408,10,178,5.2212389380531,"GO:0097530 granulocyte migration "," http://amigo.geneontology.org/amigo/term/GO:0097530"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3  CSF1  IL1B"
0.00144119923445535,11,268,4.60283687943262,"GO:0071219 cellular response to molecule of bacterial origin "," http://amigo.geneontology.org/amigo/term/GO:0071219"," IL1B  CXCL3  CXCL5  CXCL10  CXCL11  LTF  TNFAIP3  CCL3  NFKB1"
0.00162779737698859,4,20,23.6,"GO:1903975 regulation of glial cell migration "," http://amigo.geneontology.org/amigo/term/GO:1903975"," CSF1  CCL3"
0.00169573217918675,23,1731,2.19224555735057,"GO:0043207 response to external biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0043207"," MASP2  LTF  IL1B  XCL1  REL  CXCL3  CXCL5  CLEC4E  CXCL10  CXCL11  ISG20  DMBT1  CCL3  IFNA7  TNFAIP3  RPS6KB1  NFKB1  POU2AF1  VCAM1  CSF1  PTPN11"
0.00169573217918675,23,1728,2.19224555735057,"GO:0051707 response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0051707"," MASP2  LTF  IL1B  XCL1  REL  CXCL3  CXCL5  CLEC4E  CXCL10  CXCL11  ISG20  DMBT1  CCL3  IFNA7  TNFAIP3  RPS6KB1  NFKB1  POU2AF1  VCAM1  CSF1  PTPN11"
0.00169573217918675,8,106,6.55555555555556,"GO:0070098 chemokine-mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0070098"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3"
0.00169573217918675,5,32,14.047619047619,"GO:1901623 regulation of lymphocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:1901623"," XCL1  CXCL10  CCL3"
0.00169573217918675,3,10,44.25,"GO:1903980 positive regulation of microglial cell activation "," http://amigo.geneontology.org/amigo/term/GO:1903980"," CCL3"
0.00169573217918675,9,149,5.53125,"GO:1990266 neutrophil migration "," http://amigo.geneontology.org/amigo/term/GO:1990266"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3  IL1B"
0.00176809691190091,11,295,4.26973684210526,"GO:0071216 cellular response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071216"," IL1B  CXCL3  CXCL5  CXCL10  CXCL11  LTF  TNFAIP3  CCL3  NFKB1"
0.00176809691190091,8,115,6.29333333333333,"GO:1990868 response to chemokine "," http://amigo.geneontology.org/amigo/term/GO:1990868"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3"
0.00176809691190091,8,115,6.29333333333333,"GO:1990869 cellular response to chemokine "," http://amigo.geneontology.org/amigo/term/GO:1990869"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3"
0.00176809691190091,4,11,21.4545454545455,"GO:2000503 positive regulation of natural killer cell chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:2000503"," XCL1  CCL3"
0.00183631970558439,23,1771,2.15396825396825,"GO:0009607 response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009607"," MASP2  LTF  IL1B  XCL1  REL  CXCL3  CXCL5  CLEC4E  CXCL10  CXCL11  ISG20  DMBT1  CCL3  IFNA7  TNFAIP3  RPS6KB1  NFKB1  POU2AF1  VCAM1  CSF1  PTPN11"
0.00250498883798503,3,8,35.4,"GO:0002278 eosinophil activation involved in immune response "," http://amigo.geneontology.org/amigo/term/GO:0002278"," CCL3"
0.00250498883798503,3,9,35.4,"GO:0002447 eosinophil mediated immunity "," http://amigo.geneontology.org/amigo/term/GO:0002447"," CCL3"
0.00250498883798503,15,772,2.97979797979798,"GO:0009617 response to bacterium "," http://amigo.geneontology.org/amigo/term/GO:0009617"," LTF  IL1B  CXCL3  CXCL5  CXCL10  CXCL11  DMBT1  TNFAIP3  CCL3  RPS6KB1  NFKB1  VCAM1  CLEC4E"
0.00250498883798503,3,8,35.4,"GO:0043308 eosinophil degranulation "," http://amigo.geneontology.org/amigo/term/GO:0043308"," CCL3"
0.00250498883798503,3,11,35.4,"GO:0043615 astrocyte cell migration "," http://amigo.geneontology.org/amigo/term/GO:0043615"," CCL3"
0.00250498883798503,6,133,8.63414634146342,"GO:0051209 release of sequestered calcium ion into cytosol "," http://amigo.geneontology.org/amigo/term/GO:0051209"," XCL1  CXCL10  CXCL11  CCL3"
0.00250498883798503,6,136,8.63414634146342,"GO:0051282 regulation of sequestering of calcium ion "," http://amigo.geneontology.org/amigo/term/GO:0051282"," XCL1  CXCL10  CXCL11  CCL3"
0.00250498883798503,6,134,8.63414634146342,"GO:0051283 negative regulation of sequestering of calcium ion "," http://amigo.geneontology.org/amigo/term/GO:0051283"," XCL1  CXCL10  CXCL11  CCL3"
0.00250498883798503,4,13,18.1538461538462,"GO:2000501 regulation of natural killer cell chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:2000501"," XCL1  CCL3"
0.00306475396568032,6,132,8.23255813953488,"GO:0030278 regulation of ossification "," http://amigo.geneontology.org/amigo/term/GO:0030278"," CCL3  PTPN11  CSF1  LTF"
0.00306475396568032,23,1917,2.05295007564296,"GO:0044419 biological process involved in interspecies interaction between organisms "," http://amigo.geneontology.org/amigo/term/GO:0044419"," MASP2  LTF  IL1B  XCL1  REL  CXCL3  CXCL5  CLEC4E  CXCL10  CXCL11  ISG20  DMBT1  CCL3  IFNA7  TNFAIP3  RPS6KB1  NFKB1  POU2AF1  VCAM1  CSF1  PTPN11"
0.00306475396568032,6,140,8.23255813953488,"GO:0051208 sequestering of calcium ion "," http://amigo.geneontology.org/amigo/term/GO:0051208"," XCL1  CXCL10  CXCL11  CCL3"
0.0032604136936784,6,142,8.04545454545454,"GO:0019730 antimicrobial humoral response "," http://amigo.geneontology.org/amigo/term/GO:0019730"," LTF  CXCL3  CXCL5  CXCL10  CXCL11  DMBT1"
