"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0011744324953321,14,2343,3.1532420459122,"GO:0043230 extracellular organelle "," http://amigo.geneontology.org/amigo/term/GO:0043230"," ITGA3  CD9  CD44  PKM  ACTB  CD81  TPI1  LDHB  PPL  HSPA2  LAMA5  MFGE8  CD55  FLNA"
0.0011744324953321,14,2343,3.1532420459122,"GO:0065010 extracellular membrane-bounded organelle "," http://amigo.geneontology.org/amigo/term/GO:0065010"," ITGA3  CD9  CD44  PKM  ACTB  CD81  TPI1  LDHB  PPL  HSPA2  LAMA5  MFGE8  CD55  FLNA"
0.0011744324953321,14,2316,3.16151827175449,"GO:0070062 extracellular exosome "," http://amigo.geneontology.org/amigo/term/GO:0070062"," ITGA3  CD9  CD44  PKM  ACTB  CD81  TPI1  LDHB  PPL  HSPA2  LAMA5  MFGE8  CD55  FLNA"
0.0011744324953321,14,2342,3.1532420459122,"GO:1903561 extracellular vesicle "," http://amigo.geneontology.org/amigo/term/GO:1903561"," ITGA3  CD9  CD44  PKM  ACTB  CD81  TPI1  LDHB  PPL  HSPA2  LAMA5  MFGE8  CD55  FLNA"
0.00802410080099747,7,475,5.42584892584893,"GO:0005925 focal adhesion "," http://amigo.geneontology.org/amigo/term/GO:0005925"," ITGA3  CD9  CD44  ACTB  CD81  FLNC  FLNA"
0.00802410080099747,7,484,5.37740384615385,"GO:0030055 cell-substrate junction "," http://amigo.geneontology.org/amigo/term/GO:0030055"," ITGA3  CD9  CD44  ACTB  CD81  FLNC  FLNA"
0.0134718924415348,8,926,4.14643188137164,"GO:0070161 anchoring junction "," http://amigo.geneontology.org/amigo/term/GO:0070161"," ITGA3  CD9  CD44  ACTB  CD81  FLNC  FLNA  PPL"
0.12618354964241,3,242,8.60384615384615,"GO:0016323 basolateral plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0016323"," CD44  CD81  ITGA3"
0.12618354964241,9,2293,2.59847702632938,"GO:0030054 cell junction "," http://amigo.geneontology.org/amigo/term/GO:0030054"," ACTB  ITGA3  CD9  CD44  CD81  FLNC  FLNA  PPL  LAMA5"
0.143540455967813,15,3577,1.73698105393933,"GO:0005615 extracellular space "," http://amigo.geneontology.org/amigo/term/GO:0005615"," ITGA3  CD9  CD44  PKM  ACTB  CD81  TPI1  LDHB  PPL  HSPA2  LAMA5  MFGE8  CD55  FLNA  ADM"
0.143540455967813,3,267,6.61834319526627,"GO:0009925 basal plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0009925"," CD44  CD81  ITGA3"
0.143540455967813,5,358,3.94671841919548,"GO:0030667 secretory granule membrane "," http://amigo.geneontology.org/amigo/term/GO:0030667"," MFGE8  CD9  CD44  CMTM6  CD55"
0.143540455967813,1,15,86.0384615384615,"GO:0036128 CatSper complex "," http://amigo.geneontology.org/amigo/term/GO:0036128"," HSPA2"
0.143540455967813,1,3,86.0384615384615,"GO:0043259 laminin-10 complex "," http://amigo.geneontology.org/amigo/term/GO:0043259"," LAMA5"
0.143540455967813,1,3,86.0384615384615,"GO:0043260 laminin-11 complex "," http://amigo.geneontology.org/amigo/term/GO:0043260"," LAMA5"
0.143540455967813,1,23,86.0384615384615,"GO:0090665 glycoprotein complex "," http://amigo.geneontology.org/amigo/term/GO:0090665"," FLNA"
0.143540455967813,1,5,86.0384615384615,"GO:0097433 dense body "," http://amigo.geneontology.org/amigo/term/GO:0097433"," ACTB"
0.143540455967813,1,4,86.0384615384615,"GO:0098871 postsynaptic actin cytoskeleton "," http://amigo.geneontology.org/amigo/term/GO:0098871"," ACTB"
0.143540455967813,3,286,7.37472527472527,"GO:0150034 distal axon "," http://amigo.geneontology.org/amigo/term/GO:0150034"," ITGA3  ACTB  FLNA"
0.143540455967813,1,5,86.0384615384615,"GO:1990779 glycoprotein Ib-IX-V complex "," http://amigo.geneontology.org/amigo/term/GO:1990779"," FLNA"
0.148716153325103,3,285,6.00268336314848,"GO:0045178 basal part of cell "," http://amigo.geneontology.org/amigo/term/GO:0045178"," CD44  CD81  ITGA3"
0.173015777006794,2,141,9.55982905982906,"GO:0030018 Z disc "," http://amigo.geneontology.org/amigo/term/GO:0030018"," FLNC  FLNA"
0.173015777006794,1,3,43.0192307692308,"GO:0031523 Myb complex "," http://amigo.geneontology.org/amigo/term/GO:0031523"," FLNA"
0.173015777006794,2,155,8.60384615384615,"GO:0031674 I band "," http://amigo.geneontology.org/amigo/term/GO:0031674"," FLNC  FLNA"
0.173015777006794,15,4466,1.60320114667941,"GO:0031982 vesicle "," http://amigo.geneontology.org/amigo/term/GO:0031982"," ITGA3  CD9  CD44  PKM  ACTB  CD81  TPI1  LDHB  PPL  HSPA2  LAMA5  MFGE8  CD55  FLNA  CMTM6"
0.173015777006794,1,26,43.0192307692308,"GO:0035267 NuA4 histone acetyltransferase complex "," http://amigo.geneontology.org/amigo/term/GO:0035267"," ACTB"
0.173015777006794,1,17,43.0192307692308,"GO:0043034 costamere "," http://amigo.geneontology.org/amigo/term/GO:0043034"," FLNC"
0.173015777006794,1,26,43.0192307692308,"GO:0043189 H4/H2A histone acetyltransferase complex "," http://amigo.geneontology.org/amigo/term/GO:0043189"," ACTB"
0.173015777006794,1,16,43.0192307692308,"GO:0072687 meiotic spindle "," http://amigo.geneontology.org/amigo/term/GO:0072687"," HSPA2"
0.173015777006794,1,11,43.0192307692308,"GO:0097197 tetraspanin-enriched microdomain "," http://amigo.geneontology.org/amigo/term/GO:0097197"," CD81"
0.173015777006794,1,9,43.0192307692308,"GO:0099571 postsynaptic cytoskeleton "," http://amigo.geneontology.org/amigo/term/GO:0099571"," ACTB"
0.173015777006794,1,15,43.0192307692308,"GO:0140288 GBAF complex "," http://amigo.geneontology.org/amigo/term/GO:0140288"," ACTB"
0.173015777006794,1,3,43.0192307692308,"GO:1990812 growth cone filopodium "," http://amigo.geneontology.org/amigo/term/GO:1990812"," ITGA3"
0.185140852995472,1,3,28.6794871794872,"GO:0005610 laminin-5 complex "," http://amigo.geneontology.org/amigo/term/GO:0005610"," LAMA5"
0.185140852995472,1,64,28.6794871794872,"GO:0022627 cytosolic small ribosomal subunit "," http://amigo.geneontology.org/amigo/term/GO:0022627"," RPS6"
0.185140852995472,2,250,7.16987179487179,"GO:0030016 myofibril "," http://amigo.geneontology.org/amigo/term/GO:0030016"," FLNC  FLNA"
0.185140852995472,2,229,7.48160535117057,"GO:0030017 sarcomere "," http://amigo.geneontology.org/amigo/term/GO:0030017"," FLNC  FLNA"
0.185140852995472,2,173,6.88307692307692,"GO:0030426 growth cone "," http://amigo.geneontology.org/amigo/term/GO:0030426"," ITGA3  FLNA"
0.185140852995472,2,179,6.88307692307692,"GO:0030427 site of polarized growth "," http://amigo.geneontology.org/amigo/term/GO:0030427"," ITGA3  FLNA"
0.185140852995472,1,19,28.6794871794872,"GO:0043083 synaptic cleft "," http://amigo.geneontology.org/amigo/term/GO:0043083"," LAMA5"
0.185140852995472,1,25,28.6794871794872,"GO:0044295 axonal growth cone "," http://amigo.geneontology.org/amigo/term/GO:0044295"," FLNA"
0.185140852995472,1,18,28.6794871794872,"GO:0044305 calyx of Held "," http://amigo.geneontology.org/amigo/term/GO:0044305"," ACTB"
0.185140852995472,5,1513,2.88719669592153,"GO:0099080 supramolecular complex "," http://amigo.geneontology.org/amigo/term/GO:0099080"," ACTB  PPL  RPS6  FLNC  FLNA"
0.185140852995472,4,1136,3.18660968660969,"GO:0099081 supramolecular polymer "," http://amigo.geneontology.org/amigo/term/GO:0099081"," ACTB  PPL  FLNC  FLNA"
0.185140852995472,4,1127,3.30917159763314,"GO:0099512 supramolecular fiber "," http://amigo.geneontology.org/amigo/term/GO:0099512"," ACTB  PPL  FLNC  FLNA"
0.185140852995472,1,40,28.6794871794872,"GO:1902562 H4 histone acetyltransferase complex "," http://amigo.geneontology.org/amigo/term/GO:1902562"," ACTB"
0.186445609808447,6,987,2.3465034965035,"GO:0030141 secretory granule "," http://amigo.geneontology.org/amigo/term/GO:0030141"," MFGE8  CD9  CD44  PKM  CMTM6  CD55"
0.186445609808447,2,260,6.61834319526627,"GO:0043292 contractile fiber "," http://amigo.geneontology.org/amigo/term/GO:0043292"," FLNC  FLNA"
