"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.009230128983066,8,594,5.55086848635236,"GO:0050839 cell adhesion molecule binding "," http://amigo.geneontology.org/amigo/term/GO:0050839"," PKM  PPL  FLNA  ITGA3  LAMA5  CD9  CD81  MFGE8"
0.0391335892791604,5,164,6.51806526806527,"GO:0005178 integrin binding "," http://amigo.geneontology.org/amigo/term/GO:0005178"," ITGA3  LAMA5  CD9  CD81  MFGE8"
0.0391335892791604,2,56,43.0192307692308,"GO:0015459 potassium channel regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0015459"," SGK1  FLNA"
0.0391335892791604,3,147,14.3397435897436,"GO:0016247 channel regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0016247"," SGK1  RRAD  FLNA"
0.0391335892791604,3,142,15.183257918552,"GO:0099106 ion channel regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0099106"," SGK1  RRAD  FLNA"
0.0601489364103611,11,1477,2.51040603958376,"GO:0044877 protein-containing complex binding "," http://amigo.geneontology.org/amigo/term/GO:0044877"," PKM  ACTB  CD81  ITGA3  LAMA5  CD9  FLNA  FLNC  MFGE8  CDKN1C  CD44"
0.0832945704006247,5,908,4.83362143474503,"GO:0005198 structural molecule activity "," http://amigo.geneontology.org/amigo/term/GO:0005198"," ACTB  RPS6  PPL  LAMA5  MFGE8"
0.0840826432000052,2,44,21.5096153846154,"GO:0005246 calcium channel regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0005246"," RRAD  SGK1"
0.118410774360314,2,13,17.2076923076923,"GO:0004861 cyclin-dependent protein serine/threonine kinase inhibitor activity "," http://amigo.geneontology.org/amigo/term/GO:0004861"," CDKN1C"
0.124621268564048,1,4,86.0384615384615,"GO:0003873 6-phosphofructo-2-kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0003873"," PFKFB3"
0.124621268564048,1,5,86.0384615384615,"GO:0004331 fructose-2,6-bisphosphate 2-phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0004331"," PFKFB3"
0.124621268564048,1,3,86.0384615384615,"GO:0004743 pyruvate kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0004743"," PKM"
0.124621268564048,5,841,3.70855437665783,"GO:0008289 lipid binding "," http://amigo.geneontology.org/amigo/term/GO:0008289"," CD81  CD55  SGK1  HSPA2  MFGE8"
0.124621268564048,1,3,86.0384615384615,"GO:0016838 carbon-oxygen lyase activity acting on phosphates "," http://amigo.geneontology.org/amigo/term/GO:0016838"," TPI1"
0.124621268564048,1,16,86.0384615384615,"GO:0017081 chloride channel regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0017081"," SGK1"
