"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000438793241477906,8,67,8.74074074074074,"GO:0008009 chemokine activity "," http://amigo.geneontology.org/amigo/term/GO:0008009"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3"
0.000646892899754638,8,100,7.61290322580645,"GO:0042379 chemokine receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0042379"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3"
0.00103971543044732,13,330,3.77832512315271,"GO:0005126 cytokine receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0005126"," TRAF1  LIF  XCL1  CXCL3  CXCL5  CXCL10  CXCL11  IFNA7  CCL3  IL1B  CSF1"
0.00147257990161755,12,290,3.86885245901639,"GO:0005125 cytokine activity "," http://amigo.geneontology.org/amigo/term/GO:0005125"," IL1B  LIF  XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CSF1  IFNA7  CCL3"
0.00394305871239893,4,18,15.7333333333333,"GO:0045236 CXCR chemokine receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0045236"," CXCL3  CXCL5  CXCL10  CXCL11"
0.00797138959639889,3,19,22.125,"GO:0004697 protein kinase C activity "," http://amigo.geneontology.org/amigo/term/GO:0004697"," CCL3"
0.00797138959639889,3,18,22.125,"GO:0004698 calcium-dependent protein kinase C activity "," http://amigo.geneontology.org/amigo/term/GO:0004698"," CCL3"
0.00874320417325195,8,333,4.17699115044248,"GO:0001664 G protein-coupled receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0001664"," XCL1  CXCL3  CXCL5  CXCL10  CXCL11  CCL3"
0.00874320417325195,3,24,19.6666666666667,"GO:0009931 calcium-dependent protein serine/threonine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0009931"," CCL3"
0.00874320417325195,3,25,19.6666666666667,"GO:0010857 calcium-dependent protein kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0010857"," CCL3"
