"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00013965705419999,10,112,6.62921348314607,"Path:hsa04668 TNF signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04668 "," CSF1  CXCL3  IL1B  CXCL10  LIF  NFKB1  CXCL5  TNFAIP3  TRAF1  VCAM1"
0.0241922627436549,7,99,4.80232558139535,"Path:hsa04061 Viral protein interaction with cytokine and cytokine receptor","http://www.genome.jp/kegg-bin/show_pathway?hsa04061 "," CSF1  CXCL3  CXCL10  CCL3  CXCL11  CXCL5  XCL1"
0.0241922627436549,6,93,5.53125,"Path:hsa04657 IL-17 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04657 "," CXCL3  IL1B  CXCL10  NFKB1  CXCL5  TNFAIP3"
0.0353512509557947,6,104,4.72,"Path:hsa04064 NF-kappa B signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04064 "," CXCL3  IL1B  NFKB1  TNFAIP3  TRAF1  VCAM1"
0.0353512509557947,4,63,7.86666666666667,"Path:hsa04623 Cytosolic DNA-sensing pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04623 "," IFNA7  IL1B  CXCL10  NFKB1"
0.0438416230642841,10,294,2.75700934579439,"Path:hsa04060 Cytokine-cytokine receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?hsa04060 "," CSF1  CXCL3  IFNA7  IL1B  CXCL10  LIF  CCL3  CXCL11  CXCL5  XCL1"
0.0438416230642841,6,103,4.21428571428571,"Path:hsa04620 Toll-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04620 "," IFNA7  IL1B  CXCL10  NFKB1  CCL3  CXCL11"
0.0465971960589376,7,191,3.44166666666667,"Path:hsa04062 Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04062 "," CXCL3  CXCL10  NFKB1  CCL3  CXCL11  CXCL5  XCL1"
0.0465971960589376,5,92,4.83606557377049,"Path:hsa05323 Rheumatoid arthritis","http://www.genome.jp/kegg-bin/show_pathway?hsa05323 "," CSF1  CXCL3  IL1B  CCL3  CXCL5"
0.117742884892545,2,30,13.1111111111111,"Path:hsa01523 Antifolate resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01523 "," IL1B  NFKB1"
0.152888432516677,5,183,3.39080459770115,"Path:hsa04621 NOD-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04621 "," CXCL3  IFNA7  IL1B  NFKB1  TNFAIP3"
0.152888432516677,3,70,5.70967741935484,"Path:hsa05120 Epithelial cell signaling in Helicobacter pylori infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05120 "," CXCL3  NFKB1  PTPN11"
0.16736117470037,3,57,5.36363636363636,"Path:hsa05134 Legionellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05134 "," CXCL3  IL1B  NFKB1"
