"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000317595689626145,6,229,22.2037845705968,"GO:0022408 negative regulation of cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0022408"," CD9  CEACAM1  EPCAM  SPINT2  ITCH  NDFIP1"
0.00044631826183678,7,469,12.6484245439469,"GO:0032102 negative regulation of response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0032102"," CD9  F2  ITCH  NDFIP1  TSPAN6  CEACAM1  CLDN3"
0.00044631826183678,7,475,12.4886549707602,"GO:0042060 wound healing "," http://amigo.geneontology.org/amigo/term/GO:0042060"," F2  VPS4B  CD9  CEACAM1  RAP2B  TIMP1  CLDN3"
0.000476347349076141,3,19,133.80701754386,"GO:0010544 negative regulation of platelet activation "," http://amigo.geneontology.org/amigo/term/GO:0010544"," CD9  CEACAM1  F2"
0.000544434960674765,6,331,15.361530715005,"GO:0007162 negative regulation of cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0007162"," CD9  CEACAM1  EPCAM  SPINT2  ITCH  NDFIP1"
0.000544434960674765,4,81,41.8491083676269,"GO:0061045 negative regulation of wound healing "," http://amigo.geneontology.org/amigo/term/GO:0061045"," CD9  F2  CLDN3  CEACAM1"
0.000546298888038689,3,26,97.7820512820513,"GO:0039702 viral budding via host ESCRT complex "," http://amigo.geneontology.org/amigo/term/GO:0039702"," VPS4B  VPS28"
0.000546298888038689,9,1104,6.90851449275362,"GO:0098609 cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0098609"," CD47  CD9  CEACAM1  EPCAM  SPINT2  RAP2B  ITCH  NDFIP1  CLDN3"
0.000546298888038689,2,3,564.962962962963,"GO:2000395 regulation of ubiquitin-dependent endocytosis "," http://amigo.geneontology.org/amigo/term/GO:2000395"," VPS28"
0.000546298888038689,2,3,564.962962962963,"GO:2000397 positive regulation of ubiquitin-dependent endocytosis "," http://amigo.geneontology.org/amigo/term/GO:2000397"," VPS28"
0.000565326361153989,7,619,9.58337820858015,"GO:0009611 response to wounding "," http://amigo.geneontology.org/amigo/term/GO:0009611"," F2  VPS4B  CD9  CEACAM1  RAP2B  TIMP1  CLDN3"
0.000565326361153989,7,616,9.63005050505051,"GO:0022407 regulation of cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0022407"," CD47  CD9  CEACAM1  EPCAM  SPINT2  ITCH  NDFIP1"
0.000565326361153989,3,30,84.7444444444444,"GO:0046755 viral budding "," http://amigo.geneontology.org/amigo/term/GO:0046755"," VPS4B  VPS28"
0.000565326361153989,4,97,34.9461626575029,"GO:1903035 negative regulation of response to wounding "," http://amigo.geneontology.org/amigo/term/GO:1903035"," CD9  F2  CLDN3  CEACAM1"
0.000775237796740639,3,34,74.7745098039216,"GO:0036258 multivesicular body assembly "," http://amigo.geneontology.org/amigo/term/GO:0036258"," VPS4B  VPS28"
0.000794296483439871,3,35,72.6380952380952,"GO:0036257 multivesicular body organization "," http://amigo.geneontology.org/amigo/term/GO:0036257"," VPS4B  VPS28"
0.000906542098267673,5,257,16.4872460008647,"GO:0050866 negative regulation of cell activation "," http://amigo.geneontology.org/amigo/term/GO:0050866"," CD9  CEACAM1  ITCH  NDFIP1  F2"
0.000909960431451867,2,5,338.977777777778,"GO:0014905 myoblast fusion involved in skeletal muscle regeneration "," http://amigo.geneontology.org/amigo/term/GO:0014905"," CD9  PTGFRN"
0.000909960431451867,3,39,65.1880341880342,"GO:0019068 virion assembly "," http://amigo.geneontology.org/amigo/term/GO:0019068"," VPS4B  VPS28"
0.000909960431451867,3,40,63.5583333333333,"GO:0043162 ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway "," http://amigo.geneontology.org/amigo/term/GO:0043162"," VPS28  VPS4B"
